"","Cluster","lat","long","duration.hr"
"113","MVC228F-318",48.511143,-120.129839,20
"114","MVC228F-325",48.528406,-120.153675,63
"115","MVC229M-224",48.486932,-120.101898,8
"116","MVC229M-232",48.470302,-120.096357,72
"117","MVC230F-1298",48.520884,-120.260707,64
"118","MVC230F-1334",48.538255,-120.278134,148
"119","MVC230F-1381",48.519342,-120.270538,48
"120","NEC101M-1737",48.223771,-117.18251,56
"121","NEC101M-1141",48.218793,-117.23549,108
"122","NEC101M-1318",48.164311,-117.274687,39
"123","NEC101M-1367",48.149313,-117.282962,44
"124","NEC101M-1447",48.17109,-117.263729,28
"125","NEC101M-1574",48.199415,-117.251697,148
"126","NEC101M-1618",48.144173,-117.235399,32
"127","NEC101M-1701",48.23496,-117.229874,107
"128","NEC101M-1751",48.217553,-117.153379,75
"129","NEC101M-1958",48.175479,-117.200562,112
"130","NEC101M-2405",48.143543,-117.191723,87
"131","NEC101M-2449",48.224418,-117.195435,80
"132","NEC101M-2506",48.225999,-117.180124,212
"133","NEC101M-2576",48.210602,-117.062406,72
"134","NEC101M-2601",48.182709,-117.061479,20
"135","NEC101M-2648",48.210514,-117.077489,24
"136","NEC101M-701",48.324299,-117.421561,72
"137","NEC101M-736",48.386075,-117.385734,223
"138","NEC101M-801",48.388833,-117.394373,115
"139","NEC103F-1091",48.470377,-117.379693,31
"140","NEC103F-1105",48.428351,-117.344324,12
"141","NEC103F-1136",48.488378,-117.429595,68
"142","NEC103F-1773",48.416396,-117.350989,108
"143","NEC103F-2078",48.456382,-117.372595,163
"144","NEC103F-2132",48.447648,-117.332518,175
"145","NEC103F-2255",48.466781,-117.322754,88
"146","NEC103F-319",48.454119,-117.328752,263
"147","NEC103F-3190",48.402158,-117.372376,68
"148","NEC103F-360",48.443428,-117.333488,172
"149","NEC103F-387",48.456687,-117.33138,32
"150","NEC103F-410",48.487671,-117.330904,44
"151","NEC103F-608",48.430569,-117.359585,116
"152","NEC103F-917",48.387367,-117.367396,12
"153","NEC104F-1008",48.293075,-117.568869,48
"154","NEC104F-1045",48.303009,-117.676089,100
"155","NEC104F-1061",48.298466,-117.682708,27
"156","NEC104F-1324",48.332173,-117.617639,36
"157","NEC104F-1344",48.317478,-117.625747,39
"158","NEC104F-1772",48.31166,-117.619359,80
"159","NEC104F-641",48.324765,-117.653103,144
"160","NEC104F-689",48.3026,-117.610202,172
"161","NEC104F-761",48.333419,-117.631333,76
"162","NEC104F-866",48.307517,-117.622098,43
"163","NEC104F-935",48.328485,-117.666754,148
"164","NEC106M-422",48.240455,-117.62654,12
"165","NEC106M-565",48.256215,-117.621132,108
"166","NEC107F-1128",48.375135,-117.789427,23
"167","NEC107F-1223",48.334436,-117.798959,60
"168","NEC107F-1476",48.377446,-117.759638,36
"169","NEC107F-1493",48.387329,-117.803841,48
"170","NEC107F-1837",48.365316,-117.741236,15
"171","NEC107F-580",48.403757,-117.795607,72
"172","NEC107F-607",48.386849,-117.837955,115
"173","NEC107F-643",48.3707,-117.810337,68
"174","NEC107F-667",48.38935,-117.749554,36
"175","NEC107F-778",48.340018,-117.774956,39
"176","NEC107F-877",48.337777,-117.75897,20
"177","NEC107F-911",48.338124,-117.8004,84
"178","NEC107F-912",48.340571,-117.800039,12
"179","NEC107F-1800",48.31177,-117.785145,87
"180","NEC107F-882",48.316005,-117.780006,43
"181","NEC107F-894",48.310488,-117.779268,27
"182","NEC108M-948",48.09568,-118.225622,124
"183","NEC110F-107",48.225137,-117.901795,11
"184","NEC110F-1206",48.184359,-117.947255,7
"185","NEC110F-1212",48.186334,-117.927053,52
"186","NEC110F-237",48.209041,-117.883339,120
"187","NEC110F-294",48.23115,-117.854392,155
"188","NEC110F-435",48.228697,-117.838689,88
"189","NEC110F-474",48.226147,-117.907413,55
