"","X.3","X.2","X.1","X","cam","coug_id","sex","Folder","carcass","study_area","season","elevation","building_density","building_distance","road_distance","trail_distance","forest_density","nobs","prey_wt","wt_remain","road_density","trail_density"
"27",27,27,34,34,"NEC116F-1056","NEC116F","F","Moultrie","WTD_Fawn","Northeast","Summer",792.18,1,955.082155040579,119.954494548368,1966.71233706903,0.893480241298676,19,20,18,6.64690895204693,0
"28",28,28,36,36,"NEC116F-641","NEC116F","F","Reconyx","WTD_Fawn","Northeast","Summer",1104.77,0,1504.52173048575,85.8235522446449,3250.68849125989,0.857667565345764,4,20,8,11.1450643628017,0
"29",29,29,37,37,"NEC118M-1135","NEC118M","M","Reconyx","Moose_Calf","Northeast","Summer",1071.89,0,1969.29362773131,144.476895708159,974.370018695621,0.98622590303421,10,60,48,11.4776243935254,0.317980767497786
"30",30,30,38,38,"NEC122M-2028","NEC122M","M","Moultrie","Elk_Calf","Northeast","Winter",812.45,1,897.230012275099,278.168891126339,10800.4248684205,0.72451788187027,2,60,6,10.5782387141351,0
"31",31,31,40,40,"NEC122M-769","NEC122M","M","Reconyx","WTD_Adult","Northeast","Summer",549.27,108,114.590962804298,199.646503412804,12655.0995478542,0.203856751322746,1,53,50.35,9.39863859344262,0
"32",32,32,41,41,"NEC140M-1752","NEC140M","M","Moultrie","WTD_Adult","Northeast","Summer",1004.96,0,4962.9621875334,76.0502604465517,5206.85849117558,0.895316779613495,10,53,53,16.9215647120653,0
"33",33,33,43,43,"NEC140M-369","NEC140M","M","Moultrie","WTD_Adult","Northeast","Winter",927.56,1,926.361254135204,83.8405868024361,7075.14394608792,0.919191896915436,2,53,31.8,11.9768372566733,0
"34",34,34,45,45,"NEC141M-1267","NEC141M","M","Reconyx","Moose_Calf","Northeast","Summer",1040.29,0,4203.08464603461,88.2901613232493,5402.53341912719,0.787878811359406,3,60,57,10.5524544630887,0
"35",35,35,46,46,"NEC144M-1507","NEC144M","M","Reconyx","Moose_Calf","Northeast","Summer",1063.74,0,4333.89432421175,91.6682160357662,32458.192378174,0.59320479631424,1,60,51,12.9636160627219,0
"36",36,36,47,47,"NEC144M-342","NEC144M","M","Moultrie","Moose_Yearling","Northeast","Winter",801.92,14,269.205326642316,56.8071468411405,28706.5583731486,0.847566604614258,161,150,45,13.1717313581349,0
"37",37,37,49,49,"NEC145M-1257","NEC145M","M","Moultrie","WTD_Adult","Northeast","Summer",845.39,30,285.137471701026,53.048646942311,4218.25488091583,0.741046845912933,5,53,47.7,11.5717561875854,0
"38",38,38,51,51,"MVC202F-2588","MVC202F","F","Moultrie","WTD_Adult","Okanogan","Winter",610.31,30,147.997829398466,0.383290097576368,4860.00655487706,0.00734618911519647,0,53,7.95,8.52609377620512,0
"39",39,39,53,53,"MVC202F-3281","MVC202F","F","Reconyx","WTD_Adult","Okanogan","Summer",558.84,94,340.814083991828,151.983349055015,2736.36661004709,0,0,53,53,9.95855976826195,0
"40",40,40,55,55,"MVC202F-733","MVC202F","F","Moultrie","MD_Adult","Okanogan","Spring",667.36,8,452.939140537333,144.820735029828,1666.6056799003,0.0404040403664112,0,70,38.5,3.36033119893843,0
"41",41,41,56,56,"MVC202F-960","MVC202F","F","Moultrie","MD_Adult","Okanogan","Spring",827.65,2,858.74199279472,147.926295707405,3875.64063198921,0.00367309455759823,0,70,70,7.1216460169372,0
"42",42,42,57,57,"MVC205F-1019","MVC205F","F","Moultrie","MD_Fawn","Okanogan","Summer",1562.8,0,5672.14580243399,120.093346297863,2809.61906729995,0.74931126832962,0,20,2,9.08422242719307,0
"43",43,43,58,58,"MVC205F-987","MVC205F","F","Moultrie","MD_Fawn","Okanogan","Summer",1374.27,0,6138.27699687785,613.00327783427,4681.3708033884,0.966942131519318,0,20,3,3.82370133991932,0
"44",44,44,59,59,"MVC223F-390","MVC223F","F","Moultrie","MD_Adult","Okanogan","Summer",1827.2,0,8440.21158691025,3118.63460089931,76.7252382799984,0.0477502308785915,0,70,7,0,2.100961879981
"45",45,45,62,62,"MVC235M-030-08-10C","MVC235M","M","Reconyx","MD_Adult","Okanogan","Winter",926.74,7,874.357329855952,555.541956943675,3914.20963779733,0.424242436885834,0,70,63,2.61761778927281,0
"46",46,46,63,63,"MVC235M-033-10-30C","MVC235M","M","Reconyx","Other","Okanogan","Winter",737.85,17,455.833824613023,172.466139251984,4010.66451260386,0.695133149623871,0,70,14,8.17016015155171,0
"47",47,47,64,64,"NEC103F-522","NEC103F","F","Moultrie","WTD_Adult","Northeast","Summer",805.95,2,953.659767443232,428.098172965542,2045.37901817682,0.904499530792236,0,53,0,4.39796350538357,0
"48",48,48,66,66,"NEC103F-626","NEC103F","F","Moultrie","WTD_Fawn","Northeast","Fall",814.38,10,677.361254513816,118.084251830909,4647.06812465275,0.728191018104553,0,20,4,7.09398541985092,0
"49",49,49,68,68,"NEC103F-634","NEC103F","F","Reconyx","WTD_Fawn","Northeast","Fall",797.58,1,299.687442669134,43.7459571563278,1855.13862807128,0.764003694057465,0,20,4,7.94374776198576,0
"50",50,50,69,69,"NEC108M-2031","NEC108M","M","Moultrie","DeerUnkSpp_Fawn","Northeast","Summer",795.68,0,1346.62906130398,77.1876683126694,41528.7253998421,0.795224964618683,0,20,2,13.0074386228169,0
"51",51,51,71,71,"NEC141M-351","NEC141M","M","Moultrie","Moose_AgeUnk","Northeast","Winter",1269.57,0,3466.88446025084,65.4693076649774,7439.78972241241,0.791551887989044,0,150,60,10.4832114372386,0
"52",52,52,73,73,"NEC144M-1321","NEC144M","M","Reconyx","Other","Northeast","Summer",965.62,0,1315.42747446017,10.2354744746512,29507.2506945883,0.765840232372284,0,70,7,11.2211384608205,0
"53",53,53,74,74,"NEC144M-1408","NEC144M","M","Moultrie","WTD_Fawn","Northeast","Summer",888.87,0,2277.37300887207,46.4689968129056,29832.3134640222,0.614325046539307,0,20,4,8.60778979237719,0
