"","X","cam","coug_id","sex","carcass","weight","wt_class","study_area","season","elevation","building_density","building_distance","road_density","road_distance","trail_density","trail_distance","forest_density","MAGP","EAGL","RAVE","VULT","COWS","BEAR","BOBC","COYO","WOLF","COUG"
"27",27,"NEC116F-1056","NEC116F","F","WTD_Fawn",9.92,"small","Northeast","Summer",792.18,1,955.082155040579,6.64690895204693,119.954494548368,0,1966.71233706903,0.893480241298676,0,0,0,0,0,0,0,0,0,19
"28",28,"NEC116F-641","NEC116F","F","WTD_Fawn",0.48,"small","Northeast","Summer",1104.77,0,1504.52173048575,11.1450643628017,85.8235522446449,0,3250.68849125989,0.857667565345764,0,0,0,0,0,4,0,0,0,4
"29",29,"NEC118M-1135","NEC118M","M","Moose_Calf",100,"large","Northeast","Summer",1071.89,0,1969.29362773131,11.4776243935254,144.476895708159,0.317980767497786,974.370018695621,0.98622590303421,0,0,34,3,0,2,0,3,1,10
"30",30,"NEC122M-2028","NEC122M","M","Elk_Calf",100,"large","Northeast","Winter",812.45,1,897.230012275099,10.5782387141351,278.168891126339,0,10800.4248684205,0.72451788187027,46,2,19,0,0,0,0,0,0,2
"31",31,"NEC122M-769","NEC122M","M","WTD_Adult",100,"large","Northeast","Summer",549.27,108,114.590962804298,9.39863859344262,199.646503412804,0,12655.0995478542,0.203856751322746,0,0,0,0,0,0,0,0,0,1
"32",32,"NEC140M-1752","NEC140M","M","WTD_Adult",100,"large","Northeast","Summer",1004.96,0,4962.9621875334,16.9215647120653,76.0502604465517,0,5206.85849117558,0.895316779613495,0,0,0,0,0,0,0,0,0,10
"33",33,"NEC140M-369","NEC140M","M","WTD_Adult",100,"large","Northeast","Winter",927.56,1,926.361254135204,11.9768372566733,83.8405868024361,0,7075.14394608792,0.919191896915436,0,0,0,0,0,0,4,0,0,2
"34",34,"NEC141M-1267","NEC141M","M","Moose_Calf",100,"large","Northeast","Summer",1040.29,0,4203.08464603461,10.5524544630887,88.2901613232493,0,5402.53341912719,0.787878811359406,0,0,0,0,0,0,0,0,0,3
"35",35,"NEC144M-1507","NEC144M","M","Moose_Calf",100,"large","Northeast","Summer",1063.74,0,4333.89432421175,12.9636160627219,91.6682160357662,0,32458.192378174,0.59320479631424,0,0,0,0,0,0,0,0,0,1
"36",36,"NEC144M-342","NEC144M","M","Moose_Yearling",100,"large","Northeast","Winter",801.92,14,269.205326642316,13.1717313581349,56.8071468411405,0,28706.5583731486,0.847566604614258,15,0,15,0,0,0,8,0,0,161
"37",37,"NEC145M-1257","NEC145M","M","WTD_Adult",100,"large","Northeast","Summer",845.39,30,285.137471701026,11.5717561875854,53.048646942311,0,4218.25488091583,0.741046845912933,7,0,32,31,0,2,0,2,0,5
"38",38,"MVC202F-2588","MVC202F","F","WTD_Adult",100,"large","Okanogan","Winter",610.31,30,147.997829398466,8.52609377620512,0.383290097576368,0,4860.00655487706,0.00734618911519647,120,7,27,0,0,0,0,7,0,0
"39",39,"MVC202F-3281","MVC202F","F","WTD_Adult",100,"large","Okanogan","Summer",558.84,94,340.814083991828,9.95855976826195,151.983349055015,0,2736.36661004709,0,0,0,0,6,0,0,0,0,0,0
"40",40,"MVC202F-733","MVC202F","F","MD_Adult",100,"large","Okanogan","Spring",667.36,8,452.939140537333,3.36033119893843,144.820735029828,0,1666.6056799003,0.0404040403664112,10,0,33,8,0,0,0,4,0,0
"41",41,"MVC202F-960","MVC202F","F","MD_Adult",100,"large","Okanogan","Spring",827.65,2,858.74199279472,7.1216460169372,147.926295707405,0,3875.64063198921,0.00367309455759823,168,6,10,0,1,2,0,8,7,0
"42",42,"MVC205F-1019","MVC205F","F","MD_Fawn",8.8,"small","Okanogan","Summer",1562.8,0,5672.14580243399,9.08422242719307,120.093346297863,0,2809.61906729995,0.74931126832962,0,0,0,0,0,3,0,0,0,0
"43",43,"MVC205F-987","MVC205F","F","MD_Fawn",5.6,"small","Okanogan","Summer",1374.27,0,6138.27699687785,3.82370133991932,613.00327783427,0,4681.3708033884,0.966942131519318,0,0,3,11,0,9,0,0,0,0
"44",44,"MVC223F-390","MVC223F","F","MD_Adult",100,"large","Okanogan","Summer",1827.2,0,8440.21158691025,0,3118.63460089931,2.100961879981,76.7252382799984,0.0477502308785915,0,0,0,0,0,2,0,0,0,0
"45",45,"MVC235M-030-08-10C","MVC235M","M","MD_Adult",100,"large","Okanogan","Winter",926.74,7,874.357329855952,2.61761778927281,555.541956943675,0,3914.20963779733,0.424242436885834,119,14,5,0,0,0,1,16,0,0
"46",46,"MVC235M-033-10-30C","MVC235M","M","Other",0,"small","Okanogan","Winter",737.85,17,455.833824613023,8.17016015155171,172.466139251984,0,4010.66451260386,0.695133149623871,2,0,0,0,0,0,0,0,0,0
"47",47,"NEC103F-522","NEC103F","F","WTD_Adult",100,"large","Northeast","Summer",805.95,2,953.659767443232,4.39796350538357,428.098172965542,0,2045.37901817682,0.904499530792236,0,0,5,4,0,3,0,0,1,0
"48",48,"NEC103F-626","NEC103F","F","WTD_Fawn",19.36,"small","Northeast","Fall",814.38,10,677.361254513816,7.09398541985092,118.084251830909,0,4647.06812465275,0.728191018104553,0,0,1,0,0,6,0,5,0,0
"49",49,"NEC103F-634","NEC103F","F","WTD_Fawn",19.84,"small","Northeast","Fall",797.58,1,299.687442669134,7.94374776198576,43.7459571563278,0,1855.13862807128,0.764003694057465,9,0,4,0,0,0,0,3,0,0
"50",50,"NEC108M-2031","NEC108M","M","DeerUnkSpp_Fawn",7.2,"small","Northeast","Summer",795.68,0,1346.62906130398,13.0074386228169,77.1876683126694,0,41528.7253998421,0.795224964618683,0,0,0,0,0,12,0,0,0,0
"51",51,"NEC141M-351","NEC141M","M","Moose_AgeUnk",100,"large","Northeast","Winter",1269.57,0,3466.88446025084,10.4832114372386,65.4693076649774,0,7439.78972241241,0.791551887989044,0,8,217,0,0,0,4,1,2,0
"52",52,"NEC144M-1321","NEC144M","M","Other",0,"small","Northeast","Summer",965.62,0,1315.42747446017,11.2211384608205,10.2354744746512,0,29507.2506945883,0.765840232372284,0,0,0,0,0,0,0,0,0,0
"53",53,"NEC144M-1408","NEC144M","M","WTD_Fawn",13.12,"small","Northeast","Summer",888.87,0,2277.37300887207,8.60778979237719,46.4689968129056,0,29832.3134640222,0.614325046539307,0,0,0,0,0,0,0,2,0,0
