"","cam","sex","Folder","carcass","study_area","season","elevation","building_density","building_distance","road_density","road_distance","trail_distance","forest_density","total.time","nobs"
"34","NEC116F-1056","F","Moultrie","WTD_Fawn","Northeast","Summer",792.18,1,955.082155040579,6.64658510127689,119.954494548368,1966.71233706903,0.893480241298676,46.2405555555556,9
"35","NEC116F-1056","F","Reconyx","WTD_Fawn","Northeast","Summer",792.18,1,955.082155040579,6.64658510127689,119.954494548368,1966.71233706903,0.893480241298676,46.2780555555556,10
"36","NEC116F-641","F","Reconyx","WTD_Fawn","Northeast","Summer",1104.77,0,1504.52173048575,11.1445202204951,85.8235522446449,3250.68849125989,0.857667565345764,21.96,4
"37","NEC118M-1135","M","Reconyx","Moose_Calf","Northeast","Summer",1071.89,0,1969.29362773131,11.4770648716423,144.476895708159,974.370018695621,0.98622590303421,198.631111111111,10
"38","NEC122M-2028","M","Moultrie","Elk_Calf","Northeast","Winter",812.45,1,897.230012275099,10.5777217464067,278.168891126339,10800.4248684205,0.72451788187027,0.111666666666667,1
"39","NEC122M-2028","M","Reconyx","Elk_Calf","Northeast","Winter",812.45,1,897.230012275099,10.5777217464067,278.168891126339,10800.4248684205,0.72451788187027,0.115,2
"40","NEC122M-769","M","Reconyx","WTD_Adult","Northeast","Summer",549.27,108,114.590962804298,9.39817963287733,199.646503412804,12655.0995478542,0.203856751322746,0.0113888888888889,1
"41","NEC140M-1752","M","Moultrie","WTD_Adult","Northeast","Summer",1004.96,0,4962.9621875334,16.9207399090835,76.0502604465517,5206.85849117558,0.895316779613495,12.8336111111111,7
"42","NEC140M-1752","M","Reconyx","WTD_Adult","Northeast","Summer",1004.96,0,4962.9621875334,16.9207399090835,76.0502604465517,5206.85849117558,0.895316779613495,4.82944444444444,3
"43","NEC140M-369","M","Moultrie","WTD_Adult","Northeast","Winter",927.56,1,926.361254135204,11.9762531951933,83.8405868024361,7075.14394608792,0.919191896915436,35.8875,2
"44","NEC140M-369","M","Reconyx","WTD_Adult","Northeast","Winter",927.56,1,926.361254135204,11.9762531951933,83.8405868024361,7075.14394608792,0.919191896915436,35.8752777777778,2
"45","NEC141M-1267","M","Reconyx","Moose_Calf","Northeast","Summer",1040.29,0,4203.08464603461,10.5519402236403,88.2901613232493,5402.53341912719,0.787878811359406,8.09055555555556,3
"46","NEC144M-1507","M","Reconyx","Moose_Calf","Northeast","Summer",1063.74,0,4333.89432421175,12.9629836044654,91.6682160357662,32458.192378174,0.59320479631424,0.0144444444444444,1
"47","NEC144M-342","M","Moultrie","Moose_Yearling","Northeast","Winter",801.92,14,269.205326642316,13.1710890294222,56.8071468411405,28706.5583731486,0.847566604614258,101.104166666667,160
"48","NEC144M-342","M","Reconyx","Moose_Yearling","Northeast","Winter",801.92,14,269.205326642316,13.1710890294222,56.8071468411405,28706.5583731486,0.847566604614258,27.6986111111111,32
"49","NEC145M-1257","M","Moultrie","WTD_Adult","Northeast","Summer",845.39,30,285.137471701026,11.5711911332795,53.048646942311,4218.25488091583,0.741046845912933,538.11,2
"50","NEC145M-1257","M","Reconyx","WTD_Adult","Northeast","Summer",845.39,30,285.137471701026,11.5711911332795,53.048646942311,4218.25488091583,0.741046845912933,559.663055555556,3
"51","MVC202F-2588","F","Moultrie","WTD_Adult","Okanogan","Winter",610.31,30,147.997829398466,8.52567797580891,0.383290097576368,4860.00655487706,0.00734618911519647,0,0
"52","MVC202F-2588","F","Reconyx","WTD_Adult","Okanogan","Winter",610.31,30,147.997829398466,8.52567797580891,0.383290097576368,4860.00655487706,0.00734618911519647,0,0
"53","MVC202F-3281","F","Reconyx","WTD_Adult","Okanogan","Summer",558.84,94,340.814083991828,9.95807319010937,151.983349055015,2736.36661004709,0,0,0
"54","MVC202F-3539","F","Moultrie","MD_Adult","Okanogan","Summer",694.42,26,648.565985702525,4.39537210969402,310.258353586913,176.852618463544,0.0348943993449211,0,0
"55","MVC202F-733","F","Moultrie","MD_Adult","Okanogan","Spring",667.36,8,452.939140537333,3.36016705741761,144.820735029828,1666.6056799003,0.0404040403664112,0,0
"56","MVC202F-960","F","Moultrie","MD_Adult","Okanogan","Spring",827.65,2,858.74199279472,7.12129836758966,147.926295707405,3875.64063198921,0.00367309455759823,0,0
"57","MVC205F-1019","F","Moultrie","MD_Fawn","Okanogan","Summer",1562.8,0,5672.14580243399,9.08377961441272,120.093346297863,2809.61906729995,0.74931126832962,0,0
"58","MVC205F-987","F","Moultrie","MD_Fawn","Okanogan","Summer",1374.27,0,6138.27699687785,3.82351443093929,613.00327783427,4681.3708033884,0.966942131519318,0,0
"59","MVC223F-390","F","Moultrie","MD_Adult","Okanogan","Summer",1827.2,0,8440.21158691025,0,3118.63460089931,76.7252382799984,0.0477502308785915,0,0
"60","MVC223F-390","F","Reconyx","MD_Adult","Okanogan","Summer",1827.2,0,8440.21158691025,0,3118.63460089931,76.7252382799984,0.0477502308785915,0,0
"61","MVC228F-2274","F","Moultrie","Other","Okanogan","Winter",951.21,0,1541.57522000073,4.12639246418891,208.024441198385,4186.13203586599,0.0468319542706013,0,0
"62","MVC235M-030-08-10C","M","Reconyx","MD_Adult","Okanogan","Winter",926.74,7,874.357329855952,2.61749008408065,555.541956943675,3914.20963779733,0.424242436885834,0,0
"63","MVC235M-033-10-30C","M","Reconyx","Other","Okanogan","Winter",737.85,17,455.833824613023,8.16976090687377,172.466139251984,4010.66451260386,0.695133149623871,0,0
"64","NEC103F-522","F","Moultrie","WTD_Adult","Northeast","Summer",805.95,2,953.659767443232,4.39774902445294,428.098172965542,2045.37901817682,0.904499530792236,0,0
"65","NEC103F-522","F","Reconyx","WTD_Adult","Northeast","Summer",805.95,2,953.659767443232,4.39774902445294,428.098172965542,2045.37901817682,0.904499530792236,0,0
"66","NEC103F-626","F","Moultrie","WTD_Fawn","Northeast","Fall",814.38,10,677.361254513816,7.09363910467497,118.084251830909,4647.06812465275,0.728191018104553,0,0
"67","NEC103F-626","F","Reconyx","WTD_Fawn","Northeast","Fall",814.38,10,677.361254513816,7.09363910467497,118.084251830909,4647.06812465275,0.728191018104553,0,0
"68","NEC103F-634","F","Reconyx","WTD_Fawn","Northeast","Fall",797.58,1,299.687442669134,7.94336055802653,43.7459571563278,1855.13862807128,0.764003694057465,0,0
"69","NEC108M-2031","M","Moultrie","DeerUnkSpp_Fawn","Northeast","Summer",795.68,0,1346.62906130398,13.0068042362825,77.1876683126694,41528.7253998421,0.795224964618683,0,0
"70","NEC108M-2031","M","Reconyx","DeerUnkSpp_Fawn","Northeast","Summer",795.68,0,1346.62906130398,13.0068042362825,77.1876683126694,41528.7253998421,0.795224964618683,0,0
"71","NEC141M-351","M","Moultrie","Moose_AgeUnk","Northeast","Winter",1269.57,0,3466.88446025084,10.4827000436968,65.4693076649774,7439.78972241241,0.791551887989044,0,0
"72","NEC141M-351","M","Reconyx","Moose_AgeUnk","Northeast","Winter",1269.57,0,3466.88446025084,10.4827000436968,65.4693076649774,7439.78972241241,0.791551887989044,0,0
"73","NEC144M-1321","M","Reconyx","Other","Northeast","Summer",965.62,0,1315.42747446017,11.2205906830885,10.2354744746512,29507.2506945883,0.765840232372284,0,0
"74","NEC144M-1408","M","Moultrie","WTD_Fawn","Northeast","Summer",888.87,0,2277.37300887207,8.60737002337416,46.4689968129056,29832.3134640222,0.614325046539307,0,0
"75","NEC144M-1408","M","Reconyx","WTD_Fawn","Northeast","Summer",888.87,0,2277.37300887207,8.60737002337416,46.4689968129056,29832.3134640222,0.614325046539307,0,0
"76","NEC144M-1507","M","Moultrie","Moose_Calf","Northeast","Summer",1063.74,0,4333.89432421175,12.9629836044654,91.6682160357662,32458.192378174,0.59320479631424,0,0
